,atom,G1a,G1b,G1c,G2a,G2b,force
7735,55,0.7843554223516355,0.4536624178339962,0.2571178849133885,0.06702799999999999,0.200945,1.6468640208845418
7736,56,0.9388340227585132,0.182518731142505,0.4002251985787676,0.061953,0.190393,1.3552640853564295
7737,57,0.4707637460990792,0.5294377001560593,0.2340325815448129,0.073519,0.215705,6.799013491889834
7738,58,0.4873076736188303,0.4847397646920098,0.15067020064852193,0.081648,0.232774,5.972358550170945
7739,59,0.8526052911705683,0.5976169927012097,0.14779267250295094,0.08135,0.264104,1.971044634762998
7740,60,0.4436502713019894,0.5461814834100781,0.25910345644331184,0.052078,0.155309,3.2514496149563814
7741,61,0.5804618002248682,0.6005057076128087,0.07567996711690103,0.093472,0.278582,3.937921520279956
7742,62,0.7187622140330954,0.2859676989360806,0.3253941217976006,0.076197,0.22542,4.698407527278152
7743,63,0.6874767274817191,0.4904482615539667,0.09786386108189764,0.057798,0.16733399999999998,0.9014898610289526
7744,64,0.817917174845495,0.34111073196544434,0.12100566937108978,0.07557799999999999,0.21589,4.095221794799397
7745,65,0.9421966898030146,0.2899523139913303,0.14453693879236834,0.087015,0.238493,1.5922336678381852
7746,66,0.6538112413070245,0.5393909784359036,0.3762811650787079,0.06400800000000001,0.207478,3.0028955948840443
7747,67,0.7745804262007621,0.6078666811573192,0.2468311585906489,0.080471,0.257606,1.6784955363408032
7748,68,0.65698196219982,0.6780717162442061,0.1388625151918763,0.098776,0.307168,2.328822830114391
7749,69,0.7161433899777134,0.4424681897977926,0.23517201345102254,0.093962,0.27282199999999995,2.081347148206375
7750,70,0.7503345119339244,0.425565978272053,0.20829226608264614,0.069436,0.194174,3.4108233777198143
7751,71,0.3650672803725559,0.6818498145373476,0.2452508315663643,0.07209,0.224216,5.613212552709904
7752,72,0.8748001441276534,0.6049036102122669,0.1213374862939671,0.096606,0.309836,2.0127344168570773
7753,73,0.6606061830444327,0.4061683127791533,0.15947089967159891,0.07292799999999999,0.205907,1.5987723414886188
7754,74,0.7549151653466291,0.6160846997749917,0.17986911086921975,0.085509,0.269693,3.3543209903943305
7755,75,0.7069799640066405,0.4196492098959783,0.2478823150244972,0.076167,0.231171,1.419192906698297
7756,76,0.3832673550984841,0.5014484576940142,0.3319646831586464,0.052646000000000005,0.168308,2.944352243309893
7757,77,0.703557463500536,0.4117754481737342,0.1586993885203315,0.091308,0.266098,4.5132917818926765
7758,78,0.5978807636007817,0.4263232349202289,0.2275740522774171,0.077399,0.223924,4.392300825683505
7759,79,0.5882296864036873,0.5686121049948064,0.1904038351073524,0.091382,0.283445,3.9412966221029353
7760,80,0.7049208919698304,0.3114694983412135,0.09389179131123893,0.070492,0.18214,6.245928486262071
7761,81,0.8571287244555045,0.5234946030644474,0.3123968251463953,0.077,0.240737,1.5108737723863632
7762,82,0.7387340905959107,0.3253895340868949,0.16757134810060267,0.055782000000000005,0.144954,2.5765206190907923
7763,83,0.627371021113766,0.565965819267391,0.15257671288058605,0.096284,0.286955,3.7938021789360614
7764,84,0.4290453333776554,0.6110355934703683,0.21460876755546834,0.08625,0.26371300000000003,5.713720113218707
7765,85,1.0575624600960591,0.15225555011600747,0.14102395594552944,0.159554,0.439644,3.123480157804752
7766,86,0.86919654436077,0.4770206740161027,0.17487948942625806,0.12684,0.392211,3.822282223314233
7767,87,0.6313075591643771,0.7560417765460037,0.1012454667311328,0.097978,0.300736,4.963939442720872
7768,88,0.5256346271616017,0.5728870308612133,0.08656721053577535,0.059788,0.166416,3.0505360107961352
7769,89,0.8361076370558769,0.5510045367288862,0.18693686186815114,0.079171,0.242796,2.6013633567227785
7770,90,0.7007167271773985,0.5717228676763377,0.18741266823723368,0.050056,0.154103,1.1159126589178026
7771,91,0.6189234257680104,0.4935586782713481,0.2606938842825253,0.090202,0.275323,4.7705084280772425
7772,92,0.99436936163738,0.38734972469484,0.14061442846450412,0.140312,0.4123770000000001,3.07062794337966
7773,93,0.7425531199330182,0.4548226165365379,0.2408897765433339,0.07594,0.225989,1.3687347360905977
7774,94,0.6315505609266266,0.5229327368773947,0.3084995960507112,0.089201,0.280196,3.2022336406951943
7775,95,0.7115538434769733,0.4048030867573612,0.22176583877209166,0.052264,0.15246700000000002,3.8206429155444495
7776,96,0.6762303131466987,0.5377502776561542,0.18591958361001776,0.087211,0.264919,5.084136832600004
7777,97,1.118596687362859,0.1722496755328406,0.19207968869609326,0.070586,0.191091,2.631143499537036
7778,98,0.5751694618125277,0.5280955840820357,0.1974081841596244,0.068737,0.206501,3.3932076824538755
